algorithm, input, 0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32
parallel_block_sequential_sum, seq_64_test.txt/10000, 920, 1122, 964, 864, 1375, 5199, 1559, 1231, 2110, 3124, 1506, 2153, 1706, 2848, 3763, 8383, 5365
parallel_block_parallel_sum, seq_64_test.txt/10000, 1007, 1318, 3635, 836, 1145, 1294, 1382, 1885, 1433, 1712, 2357, 2218, 1958, 6924, 3956, 5836, 3731
parallel_tree_sum, seq_64_test.txt/10000, 967, 1249, 1154, 5071, 4849, 1640, 1664, 2967, 2178, 1896, 6358, 2405, 2464, 4880, 5695, 3698, 4659
parallel_block_sequential_sum, 1k.txt/10000, 17996, 20025, 11668, 15845, 9953, 11795, 10845, 10282, 12545, 9535, 13680, 10601, 13970, 13147, 10991, 12206, 12589
parallel_block_parallel_sum, 1k.txt/10000, 15048, 20123, 13401, 9536, 12315, 10130, 9782, 10969, 11671, 13442, 11446, 12523, 12082, 10530, 10594, 12261, 11056
parallel_tree_sum, 1k.txt/10000, 15113, 18278, 12710, 11333, 11792, 12006, 11155, 12433, 16083, 15892, 12940, 14177, 17301, 16552, 18834, 34127, 14165
parallel_block_sequential_sum, 8k.txt/10000, 134894, 143521, 88094, 60289, 60214, 57438, 60001, 59483, 63567, 57421, 60279, 61948, 57942, 58683, 57752, 58502, 57110
parallel_block_parallel_sum, 8k.txt/10000, 124342, 140189, 79954, 61797, 55726, 65874, 62783, 59094, 64139, 67243, 73889, 73465, 70433, 71055, 71957, 80206, 71212
parallel_tree_sum, 8k.txt/10000, 120610, 141833, 90172, 68917, 76578, 73278, 75808, 78946, 64931, 75556, 96879, 87180, 99831, 100557, 92549, 91077, 97802
parallel_block_sequential_sum, 16k.txt/10000, 283884, 262951, 182038, 149834, 155233, 150198, 109460, 116537, 118047, 115154, 116325, 132175, 128570, 141972, 119271, 109927, 119860
parallel_block_parallel_sum, 16k.txt/10000, 259301, 280503, 225037, 165391, 158400, 247082, 151113, 148852, 138831, 142176, 125025, 150738, 138132, 233594, 195396, 245747, 215532
parallel_tree_sum, 16k.txt/10000, 264812, 295542, 233332, 238922, 223870, 203164, 150982, 164156, 152487, 144349, 144907, 164033, 143018, 138854, 153730, 157565, 145899
